rho,rho_regime,R,alpha,delta,p_filler,p_mid,B,floor,online,prize,prize_pct
1.67,crisis,"(0, 1, 2)",0.2,1.46,0.5,0.3,3,2.460949,2.889951,0.429003,14.8446
1.67,crisis,"(0, 1, 2)",0.2,1.46,0.4,0.2,4,4.72772,5.097115,0.369395,7.2471
1.67,crisis,"(0, 1, 2)",0.2,1.46,0.6,0.35,2,1.577462,1.76097,0.183508,10.4208
1.67,crisis,"(0, 1, 2)",0.2,2.0,0.5,0.3,3,2.328724,2.730275,0.401551,14.7074
1.67,crisis,"(0, 1, 2)",0.2,2.0,0.4,0.2,4,3.967101,4.457865,0.490765,11.009
1.67,crisis,"(0, 1, 2)",0.2,2.0,0.6,0.35,2,1.570303,1.756155,0.185852,10.5829
1.67,crisis,"(0, 1, 2)",0.2,3.0,0.5,0.3,3,2.072665,2.594909,0.522244,20.1257
1.67,crisis,"(0, 1, 2)",0.2,3.0,0.4,0.2,4,3.001832,3.547958,0.546126,15.3927
1.67,crisis,"(0, 1, 2)",0.2,3.0,0.6,0.35,2,1.55718,1.747322,0.190142,10.8819
1.67,crisis,"(0, 1, 2)",0.3,1.0,0.5,0.3,3,2.951313,3.327029,0.375716,11.2928
1.67,crisis,"(0, 1, 2)",0.3,1.0,0.4,0.2,4,5.541768,5.76636,0.224592,3.8949
1.67,crisis,"(0, 1, 2)",0.3,1.0,0.6,0.35,2,1.720494,1.842116,0.121622,6.6023
1.67,crisis,"(0, 1, 2)",0.3,1.46,0.5,0.3,3,2.872122,3.259967,0.387846,11.8972
1.67,crisis,"(0, 1, 2)",0.3,1.46,0.4,0.2,4,5.227411,5.473754,0.246343,4.5004
1.67,crisis,"(0, 1, 2)",0.3,1.46,0.6,0.35,2,1.718308,1.840646,0.122339,6.6465
1.67,crisis,"(0, 1, 2)",0.3,2.0,0.5,0.3,3,2.698026,3.116661,0.418635,13.4322
1.67,crisis,"(0, 1, 2)",0.3,2.0,0.4,0.2,4,4.644734,4.97191,0.327176,6.5805
1.67,crisis,"(0, 1, 2)",0.3,2.0,0.6,0.35,2,1.713535,1.837437,0.123901,6.7432
1.67,crisis,"(0, 1, 2)",0.3,3.0,0.5,0.3,3,2.381777,2.851029,0.469252,16.459
1.67,crisis,"(0, 1, 2)",0.3,3.0,0.4,0.2,4,3.686962,4.138523,0.451561,10.9112
1.67,crisis,"(0, 1, 2)",0.3,3.0,0.6,0.35,2,1.704787,1.831548,0.126761,6.921
