rho,T,B,rho_real,cvar_F,cvar_S,prize,pct_co,pct_cf,tail_red,mean_sac,mu_F,mu_S,resid,sec
1.25,10,4,1.25,8.734721888000006,9.570506564000008,0.8357846760000012,8.73291993909551,9.568532195034447,3.9946879119999945,3.1589032359999933,22.003529548799982,18.84462631279999,0.0,0.003999948501586914
1.25,15,6,1.25,16.815327761198414,17.623965442397644,0.8086376811992295,4.58828453699702,4.808932021326229,6.533320374577137,5.724682693377908,33.843158195052055,28.118475501674148,0.0,0.0086669921875
1.25,20,8,1.25,26.019759972996123,27.297037391585114,1.2772774185889908,4.679179649666811,4.908874716425429,9.775945027575073,8.498667608986082,45.755243469803055,37.25657586081697,0.0,0.016499996185302734
1.25,30,12,1.25,45.66342701228665,47.033299726442074,1.3698727141554272,2.9125592338257444,2.9999340912079067,11.62548599372365,10.255613279568223,69.66433771251147,59.408724432943245,0.0,0.04678511619567871
1.25,40,16,1.25,65.77026924933897,66.94532832123318,1.1750590718942107,1.7552517873327316,1.7866113143607372,12.9425922195948,11.76753314770059,93.62520018892593,81.85766704122534,0.0,0.10556292533874512
1.25,60,24,1.25,107.51976432138673,108.80306394695953,1.2832996255727949,1.1794701169430224,1.1935476548636128,19.834615900989277,18.551316275416482,141.60111079476292,123.04979451934643,0.0,0.42336297035217285
1.25,80,32,1.25,150.26294521657582,151.40538822699287,1.142443010417054,0.7545590178760737,0.760295899145619,21.912197294329417,20.769754283912363,189.6002091037938,168.83045481988142,0.0,1.1828701496124268
1.25,120,48,1.25,237.38445302251287,238.4633207599434,1.078867737430528,0.45242502452467487,0.4544812112561606,30.321841004313853,29.242973266883325,285.6091362235727,256.3661629566894,0.0,4.929134130477905
1.25,160,64,1.25,325.7836860848668,326.5517937200913,0.76810763522451,0.23521770512242376,0.2357722832764614,38.25091687245316,37.48280923722865,381.615771662924,344.1329624256953,0.0,17.158264875411987
1.25,240,96,1.25,505.1237203999121,505.7595222272809,0.6358018273688231,0.12571228013045754,0.12587051482465555,42.6418621541809,42.006060326812076,573.6207714651744,531.6147111383623,0.0,76.94569110870361
1.5,12,4,1.5,10.508161208320006,12.259224200960004,1.7510629926399979,14.283636255733658,16.663838305540704,7.111806461951993,5.360743469311995,24.96978830950398,19.609044840191984,0.0,0.004937887191772461
1.5,18,6,1.5,20.356865905174292,22.273035455831998,1.916169550657706,8.603091188255501,9.412890764145848,9.63546793590562,7.719298385247914,38.47281436703927,30.753515981791356,0.0,0.010573148727416992
1.5,24,8,1.5,30.910281998097798,32.837006376847334,1.9267243787495367,5.867539679585495,6.233279848006908,11.84796589383571,9.921241515086173,52.03681907326805,42.115577558181876,0.0,0.019976139068603516
1.5,36,12,1.5,53.09344886250244,54.95275706924,1.859308206737559,3.383466646441136,3.501954095226815,15.869298056490031,14.009989849752472,79.21666068270636,65.20667083295389,0.0,0.055315256118774414
1.5,48,16,1.5,76.11404660484133,77.85731411738958,1.7432675125482433,2.2390542652419616,2.2903361341418425,19.574413509463028,17.831145996914785,106.41577221638335,88.58462621946856,0.0,0.12559294700622559
